Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Vehicle Fields_Reference Number,Vehicle Number,Type of Vehicle,Casualty Fields_Reference Number,Casualty Veh No,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
56P1524,431510,435135,2,25/06/2018,1845,6,U,1,1,1,E08000035,56P1524,2,1,56P1524,2,1,3,1,17
56P1541,430871,436845,2,25/06/2018,1737,6,U,1,1,1,E08000035,56P1541,2,9,56P1541,2,1,3,1,49
56P1601,427370,433647,3,25/06/2018,1730,3,A647,1,1,1,E08000035,56P1601,2,11,56P1601,2,1,3,1,30
56P1737,435062,435758,3,19/06/2018,1900,6,U,1,1,1,E08000035,56P1737,2,3,56P1737,2,1,3,1,30
56Q0406,434622,441226,2,26/06/2018,0825,6,U,1,1,1,E08000035,56Q0406,1,20,56Q0406,1,1,3,1,22
56Q0406,434622,441226,2,26/06/2018,0825,6,U,1,1,1,E08000035,56Q0406,2,9,56Q0406,2,1,2,2,54
56Q0491,429434,433461,2,26/06/2018,0916,3,A65,1,1,1,E08000035,56Q0491,1,1,56Q0491,1,1,3,1,61
56Q1275,427490,431336,2,26/06/2018,1612,3,A6110,1,1,1,E08000035,56Q1275,1,9,56Q1275,1,1,3,1,27
56Q1543,432057,435968,2,26/06/2018,0830,3,A58,1,1,1,E08000035,56Q1543,2,1,56Q1543,2,1,3,1,25
56R0168,425072,435189,1,27/06/2018,0130,6,U,1,4,1,E08000035,56R0168,1,8,56R0168,1,3,2,2,31
56R0350,428116,426285,2,27/06/2018,0730,3,A650,1,1,1,E08000035,56R0350,2,9,56R0350,2,1,3,2,48
56R0934,435700,436973,3,27/06/2018,1320,3,A6120,1,1,1,E08000035,56R0934,2,9,56R0934,2,1,3,1,71
56R0934,435700,436973,3,27/06/2018,1320,3,A6120,1,1,1,E08000035,56R0934,3,19,56R0934,3,1,3,1,52
56R0947,427915,433639,2,27/06/2018,0730,6,U,1,1,1,E08000035,56R0947,2,1,56R0947,2,1,3,1,49
56R1097,430660,434702,3,27/06/2018,1440,3,A58,1,1,1,E08000035,56R1097,1,9,56R1097,1,1,3,2,29
56R1097,430660,434702,3,27/06/2018,1440,3,A58,1,1,1,E08000035,56R1097,2,9,56R1097,2,1,3,1,41
56R1163,431417,434272,1,06/07/2018,1546,6,U,1,1,1,E08000035,56R1163,1,9,56R1163,1,3,3,2,31
56R1266,434937,434644,1,27/06/2018,1430,3,A64,1,1,1,E08000035,56R1266,1,11,56R1266,1,2,3,2,60
56R1295,436445,434702,2,27/06/2018,1614,6,U,1,1,1,E08000035,56R1295,1,9,56R1295,1,1,3,2,47
56R1295,436445,434702,2,27/06/2018,1614,6,U,1,1,1,E08000035,56R1295,2,9,56R1295,2,1,3,1,24
56R2028,429369,433781,2,27/06/2018,2231,6,U,1,4,1,E08000035,56R2028,2,9,56R2028,2,1,3,1,33
56S0317,428272,426395,3,28/06/2018,0700,1,M62,1,1,1,E08000035,56S0317,1,9,56S0317,1,1,3,1,48
56S0317,428272,426395,3,28/06/2018,0700,1,M62,1,1,1,E08000035,56S0317,2,9,56S0317,2,1,3,1,41
56S0317,428272,426395,3,28/06/2018,0700,1,M62,1,1,1,E08000035,56S0317,3,9,56S0317,3,1,3,2,29
56S0411,435025,436373,2,28/06/2018,0830,6,U,1,1,1,E08000035,56S0411,2,1,56S0411,2,1,3,1,28
56S0456,429390,433815,2,28/06/2018,0855,3,A58,1,1,1,E08000035,56S0456,2,1,56S0456,2,1,3,2,60
56S0469,432055,435969,2,28/06/2018,0900,6,U,1,1,1,E08000035,56S0469,2,1,56S0469,2,1,3,1,23
56S0632,427181,435270,2,07/06/2018,1000,6,U,1,1,1,E08000035,56S0632,2,9,56S0632,2,2,3,2,11
56S1005,431697,426392,1,28/06/2018,1400,1,M62,1,1,1,E08000035,56S1005,1,19,56S1005,1,1,3,1,42
56S1258,429340,437270,2,28/06/2018,1540,6,U,1,1,1,E08000035,56S1258,1,9,56S1258,1,1,3,1,19
56S1295,434482,434612,3,28/06/2018,1555,6,U,1,1,1,E08000035,56S1295,1,9,56S1295,1,2,1,2,85
56S1295,434482,434612,3,28/06/2018,1555,6,U,1,1,1,E08000035,56S1295,1,9,56S1295,1,1,2,1,91
56S1307,428661,426428,3,28/06/2018,1605,1,M62,1,1,1,E08000035,56S1307,2,21,56S1307,2,1,3,1,42
56S1307,428661,426428,3,28/06/2018,1605,1,M62,1,1,1,E08000035,56S1307,3,21,56S1307,3,1,3,1,27
56S1737,419270,446311,2,28/06/2018,1940,6,U,1,1,1,E08000035,56S1737,2,1,56S1737,2,1,2,1,54
56T0678,428224,429487,2,29/06/2018,1000,6,U,1,1,1,E08000035,56T0678,2,9,56T0678,2,1,3,1,25
56T1690,429456,434910,2,29/06/2018,1804,3,A660,1,1,1,E08000035,56T1690,2,1,56T1690,2,1,2,2,22
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,1,9,56U0266,1,2,2,2,17
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,1,9,56U0266,1,2,2,2,17
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,1,9,56U0266,1,2,1,1,18
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,1,9,56U0266,1,2,1,1,19
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,1,9,56U0266,1,1,1,1,21
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,1,9,56U0266,1,2,1,1,19
56U0266,423867,437663,2,30/06/2018,0238,3,A6120,1,4,1,E08000035,56U0266,2,9,56U0266,2,1,2,1,42
56U0377,426218,434033,3,30/06/2018,0438,3,A647,1,1,1,E08000035,56U0377,1,9,56U0377,1,1,2,2,23
56U0377,426218,434033,3,30/06/2018,0438,3,A647,1,1,1,E08000035,56U0377,1,9,56U0377,1,2,2,2,23
56U0755,430667,433655,3,29/06/2018,1630,3,A61,1,1,1,E08000035,56U0755,2,8,56U0755,2,2,3,1,48
56U0755,430667,433655,3,29/06/2018,1630,3,A61,1,1,1,E08000035,56U0755,2,8,56U0755,2,2,3,2,48
56U1100,428438,435711,2,30/06/2018,1140,3,A660,1,1,1,E08000035,56U1100,2,1,56U1100,2,1,3,2,26
56U1218,428369,431617,3,30/06/2018,1420,1,M621,1,1,1,E08000035,56U1218,2,9,56U1218,2,2,3,2,27
56U1218,428369,431617,3,30/06/2018,1420,1,M621,1,1,1,E08000035,56U1218,2,9,56U1218,2,2,3,1,7
56U1218,428369,431617,3,30/06/2018,1420,1,M621,1,1,1,E08000035,56U1218,3,9,56U1218,3,1,3,2,38
56U1218,428369,431617,3,30/06/2018,1420,1,M621,1,1,1,E08000035,56U1218,3,9,56U1218,3,2,3,1,3
56U1218,428369,431617,3,30/06/2018,1420,1,M621,1,1,1,E08000035,56U1218,3,9,56U1218,3,2,3,2,10
56U1570,430931,429752,2,30/06/2018,1700,6,U,1,1,1,E08000035,56U1570,2,9,56U1570,2,1,2,1,33
56U1571,430000,438583,2,30/06/2018,1705,6,U,1,1,1,E08000035,56U1571,2,3,56U1571,2,1,2,1,18
56U1853,431717,436074,2,30/06/2018,1730,4,B6159,1,1,1,E08000035,56U1853,1,1,56U1853,1,1,3,1,30
5710014,430028,433333,1,01/07/2018,0003,6,U,1,4,1,E08000035,5710014,1,9,5710014,1,3,3,1,48
5710764,429120,432170,2,30/06/2018,1410,6,U,1,1,1,E08000035,5710764,1,9,5710764,1,2,3,1,1
5711414,430939,435679,2,01/07/2018,1550,6,U,1,1,1,E08000035,5711414,1,4,5711414,1,1,2,1,26
5711464,440475,447662,2,01/07/2018,0930,3,A661,1,1,1,E08000035,5711464,1,1,5711464,1,1,3,2,46
5711538,427636,435972,1,01/07/2018,1705,4,B6157,1,1,1,E08000035,5711538,1,9,5711538,1,3,3,1,54
5711568,443302,445917,1,01/07/2018,1720,6,U,1,1,1,E08000035,5711568,1,9,5711568,1,1,3,1,76
5711568,443302,445917,1,01/07/2018,1720,6,U,1,1,1,E08000035,5711568,1,9,5711568,1,2,3,2,66
5712160,430794,431964,1,01/07/2018,2145,3,A61,1,4,1,E08000035,5712160,1,9,5712160,1,1,3,2,39
5720328,433362,425663,2,02/07/2018,0730,6,U,1,1,1,E08000035,5720328,2,4,5720328,2,1,3,1,36
5720330,431071,434566,2,02/07/2018,0720,6,U,1,1,1,E08000035,5720330,1,1,5720330,1,1,3,1,48
5721098,430892,433813,3,02/07/2018,1438,3,A58,1,1,1,E08000035,5721098,2,9,5721098,2,1,3,1,53
5721294,426440,428516,2,02/07/2018,1530,3,A643,1,1,1,E08000035,5721294,1,1,5721294,1,1,3,1,58
5721335,431343,433944,2,02/07/2018,1620,6,U,1,1,1,E08000035,5721335,2,11,5721335,2,2,3,2,43
5721335,431343,433944,2,02/07/2018,1620,6,U,1,1,1,E08000035,5721335,2,11,5721335,2,2,3,2,39
5721647,422818,435383,1,02/07/2018,1450,6,U,1,1,1,E08000035,5721647,1,9,5721647,1,3,3,1,12
5721924,424118,428137,2,02/07/2018,1900,3,A62,1,1,1,E08000035,5721924,1,9,5721924,1,1,3,1,62
5721924,424118,428137,2,02/07/2018,1900,3,A62,1,1,1,E08000035,5721924,1,9,5721924,1,2,3,1,9
5721924,424118,428137,2,02/07/2018,1900,3,A62,1,1,1,E08000035,5721924,1,9,5721924,1,2,3,2,59
5722273,425925,426689,1,02/07/2018,1720,6,U,1,1,1,E08000035,5722273,1,9,5722273,1,3,3,2,74
5730296,440438,446501,2,03/07/2018,0554,2,A1(M),1,1,1,E08000035,5730296,1,8,5730296,1,1,3,1,25
5730296,440438,446501,2,03/07/2018,0554,2,A1(M),1,1,1,E08000035,5730296,1,8,5730296,1,2,3,2,26
5730426,436160,436039,2,03/07/2018,0845,6,U,1,1,1,E08000035,5730426,1,9,5730426,1,2,3,1,2
5730829,432149,434962,1,03/07/2018,1210,6,U,1,1,1,E08000035,5730829,1,1,5730829,1,2,3,2,3
5731011,430838,434444,4,03/07/2018,1425,3,A61,1,1,1,E08000035,5731011,1,9,5731011,1,1,3,2,39
5731394,431646,435322,2,03/07/2018,1727,3,A58,1,1,1,E08000035,5731394,1,9,5731394,1,1,3,2,41
5731394,431646,435322,2,03/07/2018,1727,3,A58,1,1,1,E08000035,5731394,2,5,5731394,2,1,3,1,59
5740995,428408,432474,2,03/07/2018,1500,3,A62,1,1,1,E08000035,5740995,2,1,5740995,2,1,3,1,56
5741533,431863,435667,1,01/07/2018,1930,3,A58,1,1,1,E08000035,5741533,1,9,5741533,1,3,3,2,28
5741767,427035,431627,2,04/07/2018,0810,3,A6120,1,1,1,E08000035,5741767,2,9,5741767,2,1,3,1,21
5741979,429888,431110,1,05/07/2018,2133,6,U,1,1,1,E08000035,5741979,1,9,5741979,1,3,2,1,6
5750302,429442,430221,2,05/07/2018,0721,3,A6110,1,1,1,E08000035,5750302,2,1,5750302,2,1,2,1,53
5750710,425099,440609,1,05/07/2018,1020,6,U,1,1,1,E08000035,5750710,1,11,5750710,1,2,3,2,3
5751085,436172,434557,2,05/07/2018,1510,6,U,1,1,1,E08000035,5751085,1,9,5751085,1,1,3,2,40
5751468,429305,431834,1,05/07/2018,1802,6,U,1,1,1,E08000035,5751468,1,9,5751468,1,3,3,1,5
5751481,431427,432648,2,05/07/2018,1810,3,A61,1,1,1,E08000035,5751481,1,9,5751481,1,1,3,1,37
5751481,431427,432648,2,05/07/2018,1810,3,A61,1,1,1,E08000035,5751481,2,19,5751481,2,1,3,1,28
5752001,424742,434883,2,05/07/2018,2210,3,A657,1,4,1,E08000035,5752001,2,3,5752001,2,1,3,2,46
5760486,430006,428095,1,06/07/2018,0855,6,U,1,1,1,E08000035,5760486,1,11,5760486,1,3,3,2,78
5760933,427979,430315,2,06/07/2018,1315,3,A6110,1,1,1,E08000035,5760933,1,9,5760933,1,2,3,1,51
5761009,421953,436530,2,06/07/2018,1345,3,A6120,1,1,1,E08000035,5761009,1,9,5761009,1,1,3,2,42
5761009,421953,436530,2,06/07/2018,1345,3,A6120,1,1,1,E08000035,5761009,1,9,5761009,1,2,3,1,13
5761164,441722,444181,1,06/07/2018,1459,2,A1(M),1,1,1,E08000035,5761164,1,5,5761164,1,1,3,1,33
5762393,427452,431884,2,06/07/2018,2345,3,A58,1,1,1,E08000035,5762393,1,9,5762393,1,1,3,2,23
5762393,427452,431884,2,06/07/2018,2345,3,A58,1,1,1,E08000035,5762393,2,9,5762393,2,1,3,1,43
5762412,429163,431600,4,06/07/2018,2354,6,U,1,4,1,E08000035,5762412,3,1,5762412,3,1,2,1,32
5770746,421915,446013,2,07/07/2018,1040,3,A659,1,1,1,E08000035,5770746,2,9,5770746,2,1,3,1,76
5772001,432042,435570,1,07/07/2018,2002,6,U,1,1,1,E08000035,5772001,1,9,5772001,1,3,3,2,6
5781839,427061,431802,2,08/07/2018,1900,6,U,1,1,1,E08000035,5781839,1,9,5781839,1,2,3,2,26
5781839,427061,431802,2,08/07/2018,1900,6,U,1,1,1,E08000035,5781839,1,9,5781839,1,1,3,1,32
5781839,427061,431802,2,08/07/2018,1900,6,U,1,1,1,E08000035,5781839,2,9,5781839,2,1,2,1,47
5791589,430068,435412,1,09/07/2018,1725,6,U,1,1,1,E08000035,5791589,1,9,5791589,1,3,3,2,17
5792001,430802,433273,2,09/07/2018,2035,3,A61,1,1,1,E08000035,5792001,1,9,5792001,1,1,3,1,21
5792001,430802,433273,2,09/07/2018,2035,3,A61,1,1,1,E08000035,5792001,2,9,5792001,2,2,3,2,43
5792001,430802,433273,2,09/07/2018,2035,3,A61,1,1,1,E08000035,5792001,2,9,5792001,2,1,3,1,21
5792001,430802,433273,2,09/07/2018,2035,3,A61,1,1,1,E08000035,5792001,2,9,5792001,2,2,3,1,46
5792363,431969,435837,2,09/07/2018,2340,3,A58,1,5,1,E08000035,5792363,1,8,5792363,1,1,3,1,38
5792363,431969,435837,2,09/07/2018,2340,3,A58,1,5,1,E08000035,5792363,1,8,5792363,1,2,3,1,53
5792363,431969,435837,2,09/07/2018,2340,3,A58,1,5,1,E08000035,5792363,2,9,5792363,2,1,3,1,22
57A0418,432398,433687,1,18/07/2018,0850,3,A64,1,1,1,E08000035,57A0418,1,9,57A0418,1,3,3,2,47
57B0236,432444,433799,2,11/07/2018,0445,6,U,1,1,1,E08000035,57B0236,1,1,57B0236,1,1,3,2,27
57B1301,420308,434231,2,11/07/2018,1500,3,A647,1,1,1,E08000035,57B1301,2,9,57B1301,2,1,3,2,38
57B1427,429847,430831,1,11/07/2018,1655,6,U,1,1,1,E08000035,57B1427,1,8,57B1427,1,3,3,2,17
57B1616,423847,443911,2,11/07/2018,1815,3,A658,1,1,1,E08000035,57B1616,2,1,57B1616,2,1,3,1,44
57B2176,428430,434981,1,11/07/2018,2230,6,U,1,4,1,E08000035,57B2176,1,9,57B2176,1,3,3,1,30
57C0143,425336,432728,3,12/07/2018,0121,6,U,1,4,1,E08000035,57C0143,1,9,57C0143,1,1,2,1,32
57C1009,428550,435467,2,12/07/2018,1427,6,U,1,1,1,E08000035,57C1009,1,9,57C1009,1,1,3,2,62
57C1466,422932,435659,2,12/07/2018,1805,6,U,1,1,1,E08000035,57C1466,1,9,57C1466,1,1,3,2,39
57D0603,430996,428274,1,13/07/2018,1830,6,U,1,1,1,E08000035,57D0603,1,11,57D0603,1,2,3,2,67
57D0744,436781,434702,2,13/07/2018,1125,6,U,1,1,1,E08000035,57D0744,2,8,57D0744,2,1,3,1,36
57D0744,436781,434702,2,13/07/2018,1125,6,U,1,1,1,E08000035,57D0744,2,8,57D0744,2,2,3,1,38
57D1562,422350,428532,2,12/07/2018,1500,6,U,1,1,1,E08000035,57D1562,2,1,57D1562,2,1,3,2,11
57D1870,428514,433060,2,13/07/2018,2000,4,B6154,2,1,2,E08000035,57D1870,1,9,57D1870,1,2,3,2,33
57D1870,428514,433060,2,13/07/2018,2000,4,B6154,2,1,2,E08000035,57D1870,2,9,57D1870,2,2,3,2,34
57D2007,432191,438846,2,13/07/2018,2104,6,U,1,1,1,E08000035,57D2007,2,9,57D2007,2,1,3,1,20
57E0882,428834,434633,2,14/07/2018,1210,6,U,1,1,1,E08000035,57E0882,1,9,57E0882,1,1,3,1,87
57E0882,428834,434633,2,14/07/2018,1210,6,U,1,1,1,E08000035,57E0882,2,9,57E0882,2,1,3,1,38
57E1689,436543,436647,2,14/07/2018,1917,6,U,1,1,1,E08000035,57E1689,1,1,57E1689,1,1,3,1,8
57F0738,421705,435585,2,14/07/2018,1905,6,U,1,1,1,E08000035,57F0738,1,9,57F0738,1,2,3,2,24
57F1030,426408,428193,2,04/07/2018,1100,6,U,1,1,1,E08000035,57F1030,1,9,57F1030,1,1,3,1,56
57F1049,425400,440556,2,15/07/2018,1250,6,U,1,1,1,E08000035,57F1049,1,9,57F1049,1,1,3,2,41
57F1049,425400,440556,2,15/07/2018,1250,6,U,1,1,1,E08000035,57F1049,2,5,57F1049,2,1,2,1,41
57F2058,431966,431243,2,15/07/2018,2127,6,U,1,4,1,E08000035,57F2058,1,9,57F2058,1,1,3,1,21
57F2058,431966,431243,2,15/07/2018,2127,6,U,1,4,1,E08000035,57F2058,1,9,57F2058,1,2,3,1,24
57G1209,426853,441340,2,16/07/2018,1520,3,A660,1,1,1,E08000035,57G1209,1,1,57G1209,1,1,2,1,42
57G1209,426853,441340,2,16/07/2018,1520,3,A660,1,1,1,E08000035,57G1209,2,5,57G1209,2,1,3,1,47
57G1403,430036,432503,2,16/07/2018,1630,3,A653,1,1,1,E08000035,57G1403,2,1,57G1403,2,1,3,2,36
57G1439,424578,435162,2,16/07/2018,1640,6,U,1,1,1,E08000035,57G1439,1,5,57G1439,1,1,3,1,53
57G1530,443381,428630,1,16/07/2018,1722,6,U,1,1,1,E08000035,57G1530,1,1,57G1530,1,3,2,2,78
57G1530,443381,428630,1,16/07/2018,1722,6,U,1,1,1,E08000035,57G1530,1,1,57G1530,1,1,3,1,55
57G1531,430141,429926,1,16/07/2018,1720,6,U,1,1,1,E08000035,57G1531,1,3,57G1531,1,3,3,2,42
57G2090,430781,438592,2,16/07/2018,1830,6,U,1,1,1,E08000035,57G2090,2,1,57G2090,2,1,3,1,17
57H0311,422880,439314,2,17/07/2018,0715,6,U,1,1,1,E08000035,57H0311,2,1,57H0311,2,1,3,1,35
57H0504,425725,442965,2,17/07/2018,0920,3,A660,1,1,1,E08000035,57H0504,1,9,57H0504,1,1,3,2,28
57H0567,428775,425802,3,17/07/2018,1000,6,U,1,1,1,E08000035,57H0567,3,9,57H0567,3,1,3,2,30
57H1464,439141,432086,3,17/07/2018,1715,3,A642,1,1,1,E08000035,57H1464,1,9,57H1464,1,1,3,2,32
57H1760,429933,427362,2,17/07/2018,1926,6,U,1,1,1,E08000035,57H1760,2,1,57H1760,2,1,3,1,36
57I0949,430757,438842,2,17/07/2018,1700,3,A61,1,1,1,E08000035,57I0949,2,1,57I0949,2,1,3,1,65
57I1268,424470,433644,2,18/07/2018,1530,6,U,1,1,1,E08000035,57I1268,1,9,57I1268,1,2,3,1,47
57I1268,424470,433644,2,18/07/2018,1530,6,U,1,1,1,E08000035,57I1268,1,9,57I1268,1,2,3,2,15
57J0417,426992,437455,2,19/07/2018,0730,3,A664,1,1,1,E08000035,57J0417,2,1,57J0417,2,1,2,1,49
57J0445,436005,435768,2,19/07/2018,0813,6,U,1,1,1,E08000035,57J0445,2,1,57J0445,2,1,3,1,11
57K0391,431365,433768,1,20/07/2018,0752,6,U,1,1,1,E08000035,57K0391,1,9,57K0391,1,3,3,2,10
57K1327,420961,439970,1,20/07/2018,1555,6,U,1,1,1,E08000035,57K1327,1,9,57K1327,1,3,3,2,12
57K1628,429125,433510,2,20/07/2018,1100,6,U,1,1,1,E08000035,57K1628,2,9,57K1628,2,1,3,2,31
57K1685,427740,425074,2,20/07/2018,1835,6,U,1,1,1,E08000035,57K1685,2,9,57K1685,2,1,3,2,55
57K2129,421723,435141,2,20/07/2018,2138,4,B6156,1,4,1,E08000035,57K2129,1,90,57K2129,1,1,2,1,28
57K2129,421723,435141,2,20/07/2018,2138,4,B6156,1,4,1,E08000035,57K2129,2,19,57K2129,2,1,3,1,33
57M1205,436311,435756,2,22/07/2018,1440,6,U,1,1,1,E08000035,57M1205,2,9,57M1205,2,1,3,2,51
57M1356,421192,440443,2,22/07/2018,1530,3,A658,1,1,1,E08000035,57M1356,1,9,57M1356,1,1,3,1,45
57M1543,423085,444586,2,20/07/2018,0815,3,A660,1,1,1,E08000035,57M1543,2,1,57M1543,2,1,3,2,42
57N0424,426925,433434,2,23/07/2018,0840,6,U,1,1,1,E08000035,57N0424,1,1,57N0424,1,1,3,1,29
57O0380,419417,441694,2,24/07/2018,0710,3,A65,1,1,1,E08000035,57O0380,1,9,57O0380,1,1,3,1,23
57O0380,419417,441694,2,24/07/2018,0710,3,A65,1,1,1,E08000035,57O0380,2,9,57O0380,2,1,3,1,66
57O0380,419417,441694,2,24/07/2018,0710,3,A65,1,1,1,E08000035,57O0380,2,9,57O0380,2,2,3,2,68
57O1099,429768,433594,1,24/07/2018,1430,6,U,1,1,1,E08000035,57O1099,1,19,57O1099,1,3,3,1,45
57O1304,430070,433831,2,24/07/2018,1555,6,U,1,1,1,E08000035,57O1304,2,1,57O1304,2,1,3,1,19
57O1424,421167,434475,2,19/07/2018,1845,4,B6157,1,1,1,E08000035,57O1424,2,1,57O1424,2,1,3,1,55
57O1833,428141,435847,2,24/07/2018,1830,3,A660,1,1,1,E08000035,57O1833,1,1,57O1833,1,1,3,1,18
57P0643,440485,449152,2,25/07/2018,1110,4,B6164,1,1,1,E08000035,57P0643,1,9,57P0643,1,1,2,1,71
57P0643,440485,449152,2,25/07/2018,1110,4,B6164,1,1,1,E08000035,57P0643,2,9,57P0643,2,1,2,1,58
57P0749,429835,444903,2,25/07/2018,1030,6,U,1,1,1,E08000035,57P0749,2,3,57P0749,2,1,3,1,23
57P0960,431134,426524,2,23/07/2018,1540,1,M62,1,1,1,E08000035,57P0960,2,9,57P0960,2,1,3,2,38
57P1851,425450,428564,2,25/07/2018,1940,1,M621,1,1,1,E08000035,57P1851,1,9,57P1851,1,1,3,1,19
57P1851,425450,428564,2,25/07/2018,1940,1,M621,1,1,1,E08000035,57P1851,1,9,57P1851,1,2,3,2,17
57Q1077,433480,435111,2,26/07/2018,1430,6,U,1,1,1,E08000035,57Q1077,2,9,57Q1077,2,1,3,2,38
57Q1077,433480,435111,2,26/07/2018,1430,6,U,1,1,1,E08000035,57Q1077,2,9,57Q1077,2,2,3,2,7
57Q1077,433480,435111,2,26/07/2018,1430,6,U,1,1,1,E08000035,57Q1077,2,9,57Q1077,2,2,3,2,12
57Q1595,430617,432659,2,26/07/2018,1758,6,U,1,1,1,E08000035,57Q1595,1,9,57Q1595,1,1,3,1,43
57Q1595,430617,432659,2,26/07/2018,1758,6,U,1,1,1,E08000035,57Q1595,2,9,57Q1595,2,1,3,1,72
57Q1904,426805,432071,2,26/07/2018,2015,6,U,2,1,1,E08000035,57Q1904,1,9,57Q1904,1,1,2,1,39
57R0574,428393,434072,2,27/07/2018,0950,3,A65,1,1,1,E08000035,57R0574,2,1,57R0574,2,1,3,1,31
57R0785,428444,427381,4,27/07/2018,1140,3,A653,1,1,1,E08000035,57R0785,4,2,57R0785,4,1,2,1,29
57R1000,443590,437926,4,27/07/2018,1328,2,A1(M),1,1,1,E08000035,57R1000,1,9,57R1000,1,1,3,1,45
57R1000,443590,437926,4,27/07/2018,1328,2,A1(M),1,1,1,E08000035,57R1000,2,9,57R1000,2,1,3,1,24
57R1000,443590,437926,4,27/07/2018,1328,2,A1(M),1,1,1,E08000035,57R1000,2,9,57R1000,2,2,3,2,24
57R1147,431203,428830,2,27/07/2018,1442,6,U,1,1,1,E08000035,57R1147,2,11,57R1147,2,2,3,2,72
57S1169,425540,432573,1,28/07/2018,1424,6,U,1,1,1,E08000035,57S1169,1,8,57S1169,1,3,3,2,9
57S1169,425540,432573,1,28/07/2018,1424,6,U,1,1,1,E08000035,57S1169,1,8,57S1169,1,3,3,2,5
57S1894,430185,433924,2,28/07/2018,2030,6,U,1,1,1,E08000035,57S1894,2,9,57S1894,2,1,3,2,28
57T1218,422595,432818,1,29/07/2018,1450,6,U,1,1,1,E08000035,57T1218,1,10,57T1218,1,3,3,1,43
57T1504,433562,434960,2,29/07/2018,1740,6,U,1,1,1,E08000035,57T1504,1,1,57T1504,1,1,2,1,22
57T1698,428012,424363,1,29/07/2018,1923,6,U,1,1,1,E08000035,57T1698,1,9,57T1698,1,3,3,1,9
57U0895,430863,434189,1,30/07/2018,1341,6,U,1,1,1,E08000035,57U0895,1,9,57U0895,1,3,3,2,25
57U1349,431915,428213,2,30/07/2018,1701,1,M1,1,1,1,E08000035,57U1349,2,9,57U1349,2,1,3,2,46
57U1496,426269,434031,2,30/07/2018,1540,6,U,1,1,1,E08000035,57U1496,1,11,57U1496,1,2,3,2,45
57V0747,420337,437129,2,31/07/2018,1253,6,U,1,1,1,E08000035,57V0747,1,9,57V0747,1,1,3,1,42
57V1105,423571,434342,2,31/07/2018,1513,3,A647,1,1,1,E08000035,57V1105,2,9,57V1105,2,2,3,2,45
57V1380,430261,433751,2,31/07/2018,1700,6,U,1,1,1,E08000035,57V1380,2,1,57V1380,2,1,3,1,43
57V1541,429990,431009,1,31/07/2018,1811,6,U,1,1,1,E08000035,57V1541,1,9,57V1541,1,3,3,1,7
5810777,417956,442938,2,01/08/2018,1210,6,U,1,1,1,E08000035,5810777,1,9,5810777,1,1,3,1,67
5810793,432519,427209,1,01/08/2018,1215,3,A61,1,1,1,E08000035,5810793,1,9,5810793,1,3,3,2,7
5810794,431384,432387,2,01/08/2018,1215,6,U,1,1,1,E08000035,5810794,2,9,5810794,2,2,3,2,37
5811528,431883,435258,2,01/08/2018,1130,6,U,1,1,1,E08000035,5811528,2,1,5811528,2,1,3,1,55
5811727,432855,435969,2,01/08/2018,1900,6,U,1,1,1,E08000035,5811727,2,1,5811727,2,1,3,1,45
5811845,430453,431650,1,01/08/2018,1945,1,M621,1,1,1,E08000035,5811845,1,5,5811845,1,1,3,1,26
5812124,431879,435362,1,01/08/2018,2210,6,U,1,4,1,E08000035,5812124,1,90,5812124,1,3,3,1,19
5820526,433151,426329,2,02/08/2018,0943,3,A61,1,1,1,E08000035,5820526,1,9,5820526,1,1,3,2,51
5821436,428400,430476,2,02/08/2018,1600,6,U,1,1,1,E08000035,5821436,2,1,5821436,2,1,3,1,56
5821942,429287,435065,2,02/08/2018,2045,6,U,1,1,1,E08000035,5821942,1,1,5821942,1,1,3,1,19
5822057,430892,436416,1,01/08/2018,1540,6,U,1,1,1,E08000035,5822057,1,8,5822057,1,3,3,1,18
5830755,432167,438806,2,03/08/2018,1135,6,U,1,1,1,E08000035,5830755,1,9,5830755,1,1,3,1,85
5830755,432167,438806,2,03/08/2018,1135,6,U,1,1,1,E08000035,5830755,1,9,5830755,1,2,2,2,77
5830755,432167,438806,2,03/08/2018,1135,6,U,1,1,1,E08000035,5830755,1,9,5830755,1,3,3,1,56
5830993,434502,437179,1,03/08/2018,1230,3,A58,1,1,1,E08000035,5830993,1,9,5830993,1,1,3,2,22
5831173,436344,436609,2,03/08/2018,1425,6,U,1,1,1,E08000035,5831173,2,1,5831173,2,1,2,1,16
5831346,432321,436216,1,03/08/2018,1550,6,U,1,1,1,E08000035,5831346,1,9,5831346,1,3,3,1,6
